timestamp,amount
datetime,float
T,
2009-04-03 19:05:06.000000,129.3
2009-04-04 15:19:12.000000,46.6
2009-04-07 02:54:04.000000,30.32
2009-04-07 06:27:12.000000,84.52
2009-04-07 06:42:21.000000,21.1
2009-04-09 01:01:14.000000,29.24
2009-04-09 06:47:42.000000,99.76
2009-04-11 18:06:11.000000,29.66
2009-04-11 18:12:53.000000,148.32
2009-04-11 19:15:08.000000,61.03
2009-04-15 19:25:40.000000,53.14
2009-05-04 21:07:02.000000,816.75
2009-05-04 21:08:27.000000,686.07
2009-05-06 20:40:04.000000,489.08
2009-05-06 20:40:42.000000,586.9
2009-05-06 20:41:15.000000,554.3
2009-05-06 20:41:51.000000,652.11
